"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?lngmin=-124.8047&lngmax=202.8516&latmin=-37.8575&latmax=67.2040&base_id=46521&show=coords,attr,loc,prot,time,strat,stratext,lith,lithext,geo,rem,ent,entname,crmod,paleoloc&datainfo"
"Access Time","Wed 2024-04-10 11:09:52 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_id","46521"
"","lngmin","-124.8047"
"","lngmax","202.8516"
"","latmin","-37.8575"
"","latmax","67.204"
"","timerule","major"
"","taxon_status","all"
"","show","coords,attr,loc,prot,time,strat,stratext,lith,lithext,geo,rem,ent,entname,crmod,paleoloc"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","protected","cx_int_no","formation","stratgroup","member","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","occurrence_comments","authorizer_no","enterer_no","modifier_no","authorizer","enterer","modifier","created","modified","paleomodel","geoplate","paleoage","paleolng","paleolat"
"220523","occ","","","21894","Panthera leo","species","49734","","Panthera leo","","species","46521","Holocene","","0.0117","0","5210","31.933300","-14.402200","ZM","","","","4","outcrop","in Katete District, in Little Makwe Kopje; includes domestic animals","","32","","","","","","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: on charcoal; dates range from 750 AD +-80 to 3480 BC +- 140 radiometric intage_max, radiometric intage_min","ETE rock type adj: 0, ETE lithology comments: rocky kopje of qurtzofeldspathic rock","","","","","","","","","","","ETE rock type adj: 0, ETE lithology comments: rocky kopje of qurtzofeldspathic rock","","","","","","","","","","","cave","","ETE sed env 1: karst, ETE sed env 2: cave ETE event: ., ETE env comment: rock shelter","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","not computable using this model","mid","",""
"220802","occ","","","21931","Panthera leo","species","49734","","Panthera leo","","species","46521","Pleistocene","","2.58","0.0117","5241","18.683300","-34.083302","ZA","","","","4","","","","33","","","","","","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: >40000 years; age based on artifacts and charcoal dates radiometric intage_max, radiometric intage_min","ETE rock type adj: 0, ETE lithology comments: 0","","","","","","","","","","","ETE rock type adj: 0, ETE lithology comments: 0","","","","","","","","","","","eolian indet.","","ETE sed env 1: eolian, ETE sed env 2: . ETE event: ., ETE env comment: ancient gully filled with eolianite","","24","235","18","A. Behrensmeyer","J. Damuth","M. Uhen","1995-06-22 00:00:00","2011-08-29 14:15:14","gplates","701","mid","18.58","-34.34"
"220974","occ","","","21950","Panthera leo","species","49734","","Panthera leo","","species","46521","Pleistocene","Holocene","2.58","0","5249","21.866699","-33.511101","ZA","","","","4","local area","on edge of Little Karo, 20 km NE of Calitzdorp; excavation 13x13 m","","12","","","","","","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: 4322575 +- 270; 3840 +- 80; dates on charcoal radiometric intage_max, radiometric intage_min","ETE rock type adj: 0, ETE lithology comments: cut in Enon conglomerate; two layers of coarse sand","sandstone","","","","","","","","","","ETE rock type adj: 0, ETE lithology comments: cut in Enon conglomerate; two layers of coarse sand","sandstone","","","","","","","","","","cave","","ETE sed env 1: karst, ETE sed env 2: cave ETE event: ., ETE env comment: rock shelter filled with eolian deposits","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","701","mid","21.78","-33.78"
"221049","occ","","","21954","Panthera leo","species","49734","","Panthera leo","","species","46521","Pleistocene","","2.58","0.0117","5232","18.250000","-33.083302","ZA","","","","4","local area","63100 km NNW of Cape Town in the SW Cape Province of South Africa","","33","","","","","","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: age based on fauna and artifacts (stone tools) radiometric intage_max, radiometric intage_min","ETE rock type adj: 0, ETE lithology comments: 0","sandstone","","","","","","","","","","ETE rock type adj: 0, ETE lithology comments: 0","sandstone","","","","","","","","","","","","ETE sed env 1: fluvial, ETE sed env 2: channel ETE event: ., ETE env comment: surface deposit of bones-waterhole","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","701","mid","18.15","-33.34"
"221322","occ","","","21276","Panthera leo","species","49734","","Panthera leo","","species","46521","Middle Pleistocene","Late Pleistocene","0.774","0.0117","4430","36.167000","-1.767000","KE","","","","4","basin","see Lainyamok - general","","33","","","","","","","","","","Khaki 2","","","","","","","ETE dating method: absolute, ETE age comment: see Lainyamok - general radiometric intage_min","ETE rock type adj: poorly sorted, buff, ETE lithology comments: massive unit, matrix supported with abundant pebble- and cobble-sized clasts","siltstone","","","","","","","","","","ETE rock type adj: poorly sorted, buff, ETE lithology comments: massive unit, matrix supported with abundant pebble- and cobble-sized clasts","siltstone","","","","","","","","","","dry floodplain","","ETE sed env 1: fluvial, ETE sed env 2: dry_floodplain ETE event: mudflow, ETE env comment: probably near lake marginsee DataSheet","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","not computable using this model","mid","",""
"221356","occ","","","21277","Panthera leo","species","49734","","Panthera leo","","species","46521","Middle Pleistocene","Late Pleistocene","0.774","0.0117","4430","36.167000","-1.767000","KE","","","","4","basin","series of excavations; see Lainyamok - general","","33","","","","","","","","","","Khaki 2","","","","","","","ETE dating method: absolute, ETE age comment: see Lainyamok - general radiometric intage_min","ETE rock type adj: poorly sorted, buff, ETE lithology comments: massive unit, matrix supported with abundant pebble- and cobble-sized clasts","siltstone","","","","","","","","","","ETE rock type adj: poorly sorted, buff, ETE lithology comments: massive unit, matrix supported with abundant pebble- and cobble-sized clasts","siltstone","","","","","","","","","","dry floodplain","","ETE sed env 1: fluvial, ETE sed env 2: dry_floodplain ETE event: burrow, ETE env comment: probably near lake marginsee DataSheet","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","not computable using this model","mid","",""
"222409","occ","","","21442","Panthera cf. leo","species","49734","","Panthera leo","","species","46521","Gelasian","Calabrian","2.58","0.774","4760","36.275002","4.309000","KE","","","","4","basin","3km2 estimate from map, Ileret subregion, seconds changed by one to allow separation on map","","33","Koobi Fora","","indet.","Koobi Fora","","indet.","","","","","","","","","","","ETE dating method: composite, ETE age comment: KBS tuff and top of Chari member","ETE rock type adj: ., ETE lithology comments: .","not reported","","","","","","","","","","ETE rock type adj: ., ETE lithology comments: .","not reported","","","","","","","","","","terrestrial indet.","rift","","","24","24","8","A. Behrensmeyer","A. Behrensmeyer","M. Kosnik","1993-01-04 00:00:00","2002-07-10 22:49:32","gplates","712","mid","36.22","3.72"
"222486","occ","","","21451","Panthera cf. leo","species","49734","","Panthera leo","","species","46521","Gelasian","","2.58","1.8","4469","36.242001","4.275000","KE","","","","4","basin","934.5km2 estimate from map, Ileret subregion, seconds changed by one to allow separation on map","","741","Koobi Fora","","indet.","Koobi Fora","","indet.","","","","","","","","","","","ETE dating method: composite, ETE age comment: KBS Tuff and top of Chari member, age based on other members with faunal material from this locality\r\n\r\nsee McDougall abd Brown 2006 for detailed breakdown of 40Ar/39Ar dated tuff layers in Koobi Fora Formation.","ETE rock type adj: ., ETE lithology comments: .","tuff","","","","","","","","","","ETE rock type adj: ., ETE lithology comments: .","tuff","","","","","","","","","","terrestrial indet.","rift","","","24","24","8","A. Behrensmeyer","A. Behrensmeyer","M. Kosnik","1993-01-04 00:00:00","2002-07-10 22:49:32","gplates","712","mid","36.19","3.69"
"224497","occ","","","21791","Panthera leo","species","49734","","Panthera leo","","species","46521","Pliocene","Calabrian","5.333","0.774","4867","27.733299","-26.016701","ZA","","","","4","basin","underground cave deposit - surface area is ~1125m2, surface = 1480m in elevation, caves - 1450m elevation, includes Type site, Extension Site, West Pit and Silberberg Grotto","","1","Sterkfontein","Transvaal","14","Sterkfontein","Transvaal","14","","","","","","","","","","","ETE dating method: absolute, ETE age comment: based on two samples of bovid teeth radiometric intage_min","ETE rock type adj: breccia, ETE lithology comments: Bed A=dolomite/chert,Bed B+C=red brown calcified clastics, Bed D=banded calcite, fine lenses=sheetflood deposits","","","","","","","","","","","ETE rock type adj: breccia, ETE lithology comments: Bed A=dolomite/chert,Bed B+C=red brown calcified clastics, Bed D=banded calcite, fine lenses=sheetflood deposits","","","","","","","","","","","cave","","ETE sed env 1: trap, ETE sed env 2: cave ETE event: ., ETE env comment: karstic sol. of dolomite,periodic floods from surf","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","701","mid","27.57","-26.86"
"224976","occ","","","21822","cf. Panthera leo","species","49734","","Panthera leo","","species","46521","Calabrian","","1.8","0.774","4867","27.733601","-26.016701","ZA","","","","4","basin","underground cave deposit, surface area 1125m2, 1480 meters in elevation, cave elevation = 1450m, includes Extension site, western end of Type site and Dump 8, lat/long adjusted for separation on map","","740","Sterkfontein","Transvaal","15","Sterkfontein","Transvaal","15","","","","","","","","","","","ETE dating method: composite, ETE age comment: Max = ESR date, Min = age based on bovids radiometric intage_max,","ETE rock type adj: sandy loam, ETE lithology comments: some calcite lenses near middle, no weathered dolomite, abrupt contact but eroded and unconformable,poorly sorted seds","siltstone","","","sandy","","","","","","","ETE rock type adj: sandy loam, ETE lithology comments: some calcite lenses near middle, no weathered dolomite, abrupt contact but eroded and unconformable,poorly sorted seds","siltstone","","","sandy","","","","","","","cave","","ETE sed env 1: ., ETE sed env 2: cave ETE event: ., ETE env comment: karstic, periodic flooding from surface=fine seds","","24","24","8","A. Behrensmeyer","A. Behrensmeyer","M. Kosnik","2002-07-10 20:49:32","2002-07-10 22:49:32","gplates","701","mid","27.68","-26.30"
